"birth","homepage","name_cn","photo","url","hobby","experience","party","sc_secrs","assembly_idx","popong_idx","email","name_en","name_kr","aides","district","committee","off_phone","when_elected","idx","pr_secrs"
"1960-06-04","http://www.강기윤.kr","姜起潤","http://www.assembly.go.kr/photo/9770703.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770703","","* 마산공업고등학교 졸업 (26회)||* 창원대 행정학 졸업||* 창원대 대학원 행정학 박사 졸업||||* 제7대 경남도의회 의원||* 제7대 경남도의회 기획행정위원회 위원장||||* 제8대 경남도의회 의원||* 제8대 경남도의회 한나라당 원내대표||||* 한나라당 경남도당 대변인||* 한나라당 중앙교육원 부원장||||* 새누리당 경남도당 수석부대변인||* 새누리당 경남도당 수석부위원장||* 現 새누리당 경남도당 위원장||||* 예산결산특별위원회 위원||* 국회운영위 위원||* 現 국회안전행정위원회 위원","새누리당","박응서 , 안현성 , 이유진",9770703,19601167,"ggotop@assembly.go.kr","KANG Gi Yun","강기윤","강종길 , 김태훈","경남 창원시성산구","안전행정위원회","02-784-1322","초선( 19대 )",775,"박병규 , 이순우"
"1964-12-03","http://www.kanggijung.com","姜琪正","http://www.assembly.go.kr/photo/9770275.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770275","등산/축구","*  고흥 금산중학교 졸업 (79)||*  광주 대동고등학교 졸업 (82)||*  전남대학교 전기공학과 졸업||*  전남대학교 행정대학원 석사||||*  전) 열린우리당 부대표||*  전) 정치개혁특별위원회 위원||*  전) 국회운영위원회 위원||*  17대 국회의원||*  국회 보건복지위원회 위원||*  (재) 열린정책연구원 이사||*  진실규명과 화해를 위한 당정특위 위원||*  국민연금제도개선특위 위원||*  국회의원 축구연맹 회원","더불어민주당","홍돈석 , 정기조 , 김예지",9770275,1964154,"okang@assembly.go.kr","KANG Gi Jung","강기정","장성훈 , 정성학","광주 북구갑","정무위원회","02-788-2666","3선( 17대 , 18대 , 19대 )",317,"나원주 , 이열"
"1942-06-05","http://www.uljukang.org","姜吉夫","http://www.assembly.go.kr/photo/9770276.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770276","","서울대 환경대학원 졸업,||대통령 건설교통 비서관,||건설교통부차관","새누리당","공진혁 , 김철민 , 장경희",9770276,19421164,"shinmut@assembly.go.kr","KANG Ghil Boo","강길부","윤지현 , 정재원","울산 울주군","미래창조과학방송통신위원회 , 정보위원회","02-788-2708","3선( 17대 , 18대 , 19대 )",318,"변정복 , 송경희"
"1953-01-20","http://kdwon.co.kr","姜東遠","http://www.assembly.go.kr/photo/9770704.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770704","","","더불어민주당","김강중, 임진리, 문진영, 박다혜",9770704,19531120,"525kdw@hanmail.net","KANG Dong Won","강동원","김현목","전북 남원시순창군","국토교통위원회","02-784-2577","초선( 19대 )",766,"봉규용, 홍순식"
"1955-12-03","http://kangsh.kr","姜碩鎬","http://www.assembly.go.kr/photo/9770512.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770512","스포츠","한국외국어대학교 스페인어과 졸업||전 새누리당 경상북도당 위원장||현 새누리당 제1사무부총장||현 한독 의원친선협회 회장","새누리당","김동우 , 서재광 , 홍혜영",9770512,19551112,"kangsh@na.go.kr","KANG Seok Ho","강석호","임종석 , 황병언","경북 영양군영덕군봉화군울진군","국토교통위원회","02-784-2376","재선( 18대 , 19대 )",537,"권혁식 , 홍성범"
"1964-08-15","http://www.hoonhoon.or.kr","姜錫勳","http://www.assembly.go.kr/photo/9770705.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770705","","<학력>||- 서라벌고등학교 졸업||- 서울대학교 경제학과 졸업||- 위스콘신메디슨대학교 경제학 석/박사||||<경력>||- 국회 기획재정위원회 새누리당 간사(現)||- 국회 공적연금 강화와 노후빈곤 해소를 위한 특별위원회 간사(現)||- 국회 서민주거복지특별위원회 위원(現)||- 새누리당 경제상황점검 TF 단장(現)||- 새누리당 기획재정 정책조정위원장 (現)||- 국회 정무위원회 위원(前)||- 국회 공무원연금개혁특별위원회 위원(前)||- 새누리당 보수혁신특별위원회 위원(前)||- 새누리당 정책위부의장(前)||- 새누리당 민생정책혁신위원회 부위원장(前)||- 새누리당 외교역량강화 특별위원회 위원(前)||- 성신여대 경제학과 교수(現)||- 제18대 대통령직인수위원회 국정기획조정분과 인수위원(前)||- 한국재정학회 이사||- 한국여성정책연구원 연구자문위원||- 한국조사연구학회 기획이사||- 한국경제연구학회 이사||- 한국보건사회연구원 연구자문위원||- 한국노동경제학회 이사||- (주) 대우경제연구소 금융팀장/패널팀장","새누리당","정윤경 , 김내영 , 김태완",9770705,1964171,"ksh@assembly.go.kr","KANG Seoghoon","강석훈","김유현 , 김재홍","서울 서초구을","기획재정위원회 , 서민주거복지 특별위원회","02-784-3457","초선( 19대 )",718,"김광수 , 정성전"
"1964-10-23","http://kangeunhee.or.kr","姜𤨒姬","http://www.assembly.go.kr/photo/9770706.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770706","","[현재]||2012 ~ 19대 새누리당 비례대표 국회의원||2012 ~ 새누리당 100% 국민행동실천본부 청년팀 간사||2012 ~ 국회 미래인재포럼 책임연구의원||2012 ~ 한국아동인구환경의원연맹 이사||2012 ~ 새누리당 비례대표 모임(약속지킴이 26) 간사||2012 ~ 국회 이공계 의원 모임 간사||2013 ~ 유네스코한국위원회 제29대 위원||2013 ~ 국회 교육문화체육관광위원회 위원||2013 ~ 전자신문 월요논단 필진||2014 ~ 새누리당 경제혁신특별위원회 공적연금개혁분과 위원||2014 ~ 국회 여성가족위원회 위원||2014 ~ 새누리당 조직강화특별위원회 위원||2014 ~ 새누리당 무상보육·무상급식 TF팀 위원||2015 ~ 새누리당 정책위원회 부위원장||||[前]||1987 봉화 소천중· 소천고/원화여고/동명중 교사||1995 경북대학교 전자계산소 전산교육센터 교육팀장||1997 ㈜위니텍 창립이사 및 대표이사||2007 경상북도 새경북위원회 위원||2008 대구광역시 규제개혁위원회 위원||2008 새누리당 대구시당 디지털정당위원회 위원장||2008 대통령직속 국민경제자문회의 위원||2009 (사)한국무역협회 이사||2009 (사)IT여성기업인협회 회장||2009 정보통신산업진흥원 비상임이사||2010 지식경제부 IT정책 자문위원회 자문위원||2011 대통령직속 국가경쟁력강화위원회 위원||2011 대통령직속 국가정보화전략위원회 위원||2012 국회 쇄신특별위원회 위원||2012 국회 아동·여성대상 성폭력대책특별위원회 위원||2012 국회 여성가족위원회 위원||2012 국회 교육과학기술위원회 위원||2012 새누리당 중앙선대위 재외선거대책위원회 위원||2012 유네스코한국위원회 제28대 위원||2012 새누리당 인재영입위원회 위원||2012 새누리당 중앙선대위 벤처본부 본부장||2012 새누리당 중앙선대위 여성본부 본부장||2013 새누리당 원내대변인||2013 새누리당 원내공보부대표||2013 국회 운영위원회 위원||","새누리당","이기순 , 김상희 , 윤성식",9770706,1964213,"kang119@assembly.go.kr","KANG Eunhee","강은희","신봉철 , 최상경","비례대표","국회운영위원회 , 교육문화체육관광위원회","02-784-3543","초선( 19대 )",806,"곽혜지 , 김혜향"
"1952-01-28","http://www.kangci.net","姜昌一","http://www.assembly.go.kr/photo/9770279.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770279","바둑","학력||서울대 국사학과 졸업||동경대 대학원 (문학박사)||||||19대 국회||||전) 산업통상자원위원회 위원장||안전행정위원회 위원||예산결산특별위원회 위원||국회 신재생에너지 정책연구 포럼 대표의원||국회 정각회 회장||한일의원연맹 간사장||||||18대 국회||||국회 독도영토수호대책특별위원회 위원장||지식경제위원회 위원||민주당 중앙위원||민주당 제주도당위원장(전)||민주당 비상대책위원회 위원(전)||한일의원연맹 사회문화위원장||국회 정각회 부회장||바다와경제국회포럼 대표의원||국민과 함께하는 국회의원모임 대표||민주당 재외동포사업단 일본지원단장||국토해양위원회 위원 (전)||||17대 국회||||행정자치위원회 간사, 법안심사소위원장||예산결산특별위원회 위원(2004, 2007)||과거사청산을 위한 국회의원모임 회장||독도수호 및 일본의 역사왜곡대책특별위원회 위원||중국의 고구려사왜곡대책특별위원회 위원||한-헝가리 의원친선협회 부회장||건설교통위원회 위원||||||배재대학교 교수 (교무처장 역임)||제주 4 · 3연구소장, 이사장(전)||한일역사공동연구위원회 한국위원(전)||한국전쟁전후민간인학살진상규명범국민위원회 운영위원장(전)||광주5.18기념재단 이사(전)||일본역사바로잡기운동본부 운영위원장(전)||동아시아평화인권한국위원회 운영위원장||민청학련계승사업회 편집위원장||열린우리당 제주도당 위원장(전)","더불어민주당","유동현, 강승하, 허희수, 정민희, 김은희",9770279,19521149,"kangci@assembly.go.kr","KANG Chang-il","강창일","강신혁, 문경운","제주 제주시갑","안전행정위원회 , 예산결산특별위원회 , 동북아역사왜곡대책 특별위원회","02-784-6084","3선( 17대 , 18대 , 19대 )",320,"송지원"
"1946-08-03","http://www.kangkorea.com","姜昌熙","http://www.assembly.go.kr/photo/9770707.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770707","운동","","새누리당","송인환 , 박종국 , 육민희",9770707,19461111,"kangkorea7@assembly.go.kr","KANG Chang Hee","강창희","백운일 , 홍정민","대전 중구","외교통일위원회","02-784-3807","6선( 11대 , 12대 , 14대 , 15대 , 16대 , 19대 )",10,"김옥향 , 김용대"
"1958-03-18","http://www.kyungdaesoo.or.kr","慶大秀","http://www.assembly.go.kr/photo/9770708.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770708","","- 충북 괴산군 장연면 출생||- 청주중, 경동고 졸업||- 서울대 법과대학 졸업(1979년), 동 대학원 수료||- 제21회 사법시험 합격(1979년), 사법연수원 11기||- 육군 중위(군법무관)||||- (전)서울중앙지방검찰청 제1,2차장검사||- (전)제주지방검찰청 검사장||- (전)대검찰청 마약조직범죄부장(검사장)||- (전)새누리당 충북도당 위원장||- (현)새누리당 중부4군 당협위원장||- (현)제19대 국회의원(충북 증평·진천·괴산·음성)||||- (현)국회 농림축산식품해양수산위원회 위원||- (현)국회 예산결산특별위원회 위원(2014.5.~)||- (현)국회 공직자윤리위원회 위원||- (전)국회 대법관인사청문특별위원회 위원||- (전)국회 윤리특별위원회 위원||- (전)국회 예산결산특별위원회 위원(2012.5.-.2013.4.)||- (전)국회 농림축산식품해양수산위원회 새누리당 간사||- (전)국회 국가정보원 댓글 의혹 사건 등의 진상규명을 위한 국정조사 특별위원회 위원||- (전)국회 세월호 침몰 사고의 진상규명을 위한 국정조사 특별위원회 위원||||- (현)새누리당 중앙윤리위원장||- (현)새누리당 법률지원단 부단장||- (현)새누리당 세월호특별법 태스크포스(TF) 간사||- (전)새누리당 제4정책조정위원회 부위원장||- (전)새누리당 재해대책위원회 수석 부위원장||- (전)새누리당 조직강화특별위원회 위원||- (전)새누리당 당헌·당규개정특별위원회 위원||- (전)새누리당 제18대 대통령선거 중앙선거대책위원회 직능총괄본부 법조본부장||- (전)새누리당 제18대 대통령선거 국민행복추진위원회 ‘행복한 농어촌 추진단’ 위원||- (전)새누리당 100% 국민행복실천본부 농림축산식품해양수산위원||- (전)새누리당 충북도당 공천관리위원회 수석 부위원장||- (전)새누리당 제3차 전당대회 선거관리위원회 위원||- (전)새누리당 국회선진화법 정상화 태스크포스(TF) 위원||- (전)새누리당 국민행복드림본부 힘찬미래로씽씽단 체감경제팀 부팀장||||","새누리당","장용식 , 백구현 , 강민경",9770708,19581127,"kyungds@na.go.kr","KYUNG Dae Soo","경대수","김종춘 , 안중우","충북 증평군진천군괴산군음성군","농림축산식품해양수산위원회 , 정치개혁 특별위원회","02-784-3977","초선( 19대 )",755,"김연준 , 김태섭"
