"idx","name_kr","party","when_elected","total","attend","absense","leave"
10,"강창희","새누리당","6선( 11대 , 12대 , 14대 , 15대 , 16대 , 19대 )",135,108,18,9
33,"김무성","새누리당","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,126,9,0
45,"김영환","더불어민주당","4선( 15대 , 16대 , 18대 , 19대 )",135,135,0,0
86,"박병석","더불어민주당","4선( 16대 , 17대 , 18대 , 19대 )",135,122,4,9
102,"박주선","무소속","3선( 16대 , 18대 , 19대 )",135,126,0,9
115,"서청원","새누리당","7선( 11대 , 13대 , 14대 , 15대 , 16대 , 18대 , 19대 )",135,112,14,9
117,"설훈","더불어민주당","3선( 15대 , 16대 , 19대 )",135,121,9,5
126,"신계륜","더불어민주당","4선( 14대 , 16대 , 17대 , 19대 )",135,122,13,0
127,"신기남","더불어민주당","4선( 15대 , 16대 , 17대 , 19대 )",135,131,4,0
132,"심재권","더불어민주당","재선( 16대 , 19대 )",135,135,0,0
133,"심재철","새누리당","4선( 16대 , 17대 , 18대 , 19대 )",135,135,0,0
147,"원유철","새누리당","4선( 15대 , 16대 , 18대 , 19대 )",135,135,0,0
169,"이병석","새누리당","4선( 16대 , 17대 , 18대 , 19대 )",135,108,0,27
179,"이완구","새누리당","3선( 15대 , 16대 , 19대 )",135,0,135,0
188,"이인제","새누리당","6선( 13대 , 14대 , 16대 , 17대 , 18대 , 19대 )",135,117,18,0
190,"이재오","새누리당","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,121,14,0
193,"이종걸","더불어민주당","4선( 16대 , 17대 , 18대 , 19대 )",135,135,0,0
194,"이주영","새누리당","4선( 16대 , 17대 , 18대 , 19대 )",135,121,0,14
196,"이한구","새누리당","4선( 16대 , 17대 , 18대 , 19대 )",135,40,95,0
200,"이해찬","더불어민주당","6선( 13대 , 14대 , 15대 , 16대 , 17대 , 19대 )",135,99,36,0
219,"정갑윤","새누리당","4선( 16대 , 17대 , 18대 , 19대 )",135,130,0,5
227,"정병국","새누리당","4선( 16대 , 17대 , 18대 , 19대 )",135,135,0,0
228,"정세균","더불어민주당","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,135,0,0
229,"정우택","새누리당","3선( 15대 , 16대 , 19대 )",135,107,0,28
230,"정의화","무소속","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,135,0,0
246,"천정배","무소속","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,135,0,0
256,"추미애","더불어민주당","4선( 15대 , 16대 , 18대 , 19대 )",135,121,9,5
266,"홍문종","새누리당","3선( 15대 , 16대 , 19대 )",135,130,0,5
270,"황우여","새누리당","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,67,5,63
280,"문희상","더불어민주당","5선( 14대 , 16대 , 17대 , 18대 , 19대 )",135,135,0,0
292,"오영식","더불어민주당","3선( 16대 , 17대 , 19대 )",135,130,0,5
