idx,name_kr,party,when_elected,cat,total,attend,absence,leave
317,강기정,더불어민주당,"3선( 17대 , 18대 , 19대 )",본회의,135,135,0,0
317,강기정,더불어민주당,"3선( 17대 , 18대 , 19대 )",헌법재판소재판관후보자를겸하는헌법재판소장(이동흡)임명동의에관한인사청문특별위원회,36,36,0,0
317,강기정,더불어민주당,"3선( 17대 , 18대 , 19대 )",정무위원회,1359,1314,36,9
317,강기정,더불어민주당,"3선( 17대 , 18대 , 19대 )",공적연금강화와노후빈곤해소를위한특별위원회,63,63,0,0
317,강기정,더불어민주당,"3선( 17대 , 18대 , 19대 )",공무원연금개혁특별위원회,108,108,0,0
318,강길부,새누리당,"3선( 17대 , 18대 , 19대 )",본회의,135,135,0,0
318,강길부,새누리당,"3선( 17대 , 18대 , 19대 )",정보위원회,253,225,19,9
318,강길부,새누리당,"3선( 17대 , 18대 , 19대 )",기획재정위원회,693,693,0,0
318,강길부,새누리당,"3선( 17대 , 18대 , 19대 )",미래창조과학방송통신위원회,540,540,0,0
766,강동원,더불어민주당,초선( 19대 ),본회의,135,90,0,45
766,강동원,더불어민주당,초선( 19대 ),감사원장(황찬현)임명동의에관한인사청문특별위원회,36,27,9,0
766,강동원,더불어민주당,초선( 19대 ),지속가능발전특별위원회,36,36,0,0
766,강동원,더불어민주당,초선( 19대 ),미래창조과학방송통신위원회,702,612,72,18
766,강동원,더불어민주당,초선( 19대 ),국회운영위원회,198,153,27,18
766,강동원,더불어민주당,초선( 19대 ),국회쇄신특별위원회,45,36,9,0
766,강동원,더불어민주당,초선( 19대 ),국토교통위원회,531,459,72,0
766,강동원,더불어민주당,초선( 19대 ),예산결산특별위원회,135,117,18,0
537,강석호,새누리당,"재선( 18대 , 19대 )",본회의,135,116,10,9
537,강석호,새누리당,"재선( 18대 , 19대 )",국민안전혁신특별위원회,117,63,54,0
537,강석호,새누리당,"재선( 18대 , 19대 )",국토교통위원회,1161,1107,36,18
537,강석호,새누리당,"재선( 18대 , 19대 )",국무총리실산하민간인불법사찰및증거인멸사건의진상규명을위한국정조사특별위원회,18,18,0,0
718,강석훈,새누리당,초선( 19대 ),본회의,135,130,5,0
718,강석훈,새누리당,초선( 19대 ),기획재정위원회,514,514,0,0
718,강석훈,새누리당,초선( 19대 ),창조경제활성화특별위원회,99,54,45,0
718,강석훈,새누리당,초선( 19대 ),농림축산식품해양수산위원회,9,9,0,0
718,강석훈,새누리당,초선( 19대 ),정무위원회,792,594,63,135
718,강석훈,새누리당,초선( 19대 ),서민주거복지특별위원회,100,19,81,0
718,강석훈,새누리당,초선( 19대 ),공적연금강화와노후빈곤해소를위한특별위원회,63,63,0,0
718,강석훈,새누리당,초선( 19대 ),공무원연금개혁특별위원회,108,81,27,0
806,강은희,새누리당,초선( 19대 ),본회의,135,135,0,0
806,강은희,새누리당,초선( 19대 ),대법관(조희대)임명동의에관한인사청문특별위원회,27,27,0,0
806,강은희,새누리당,초선( 19대 ),아동.여성대상성폭력대책특별위원회,36,18,18,0
806,강은희,새누리당,초선( 19대 ),여성가족위원회,389,362,18,9
806,강은희,새누리당,초선( 19대 ),대법관(이기택)임명동의에관한인사청문특별위원회,27,18,9,0
806,강은희,새누리당,초선( 19대 ),헌법재판소재판관후보자를겸하는헌법재판소장(이동흡)임명동의에관한인사청문특별위원회,36,36,0,0
806,강은희,새누리당,초선( 19대 ),법제사법위원회,9,9,0,0
806,강은희,새누리당,초선( 19대 ),국회운영위원회,359,333,26,0
806,강은희,새누리당,초선( 19대 ),국회쇄신특별위원회,36,36,0,0
806,강은희,새누리당,초선( 19대 ),교육문화체육관광위원회,1386,1271,61,54
806,강은희,새누리당,초선( 19대 ),공무원연금개혁특별위원회,108,108,0,0
320,강창일,더불어민주당,"3선( 17대 , 18대 , 19대 )",본회의,135,135,0,0
320,강창일,더불어민주당,"3선( 17대 , 18대 , 19대 )",산업통상자원위원회,792,792,0,0
320,강창일,더불어민주당,"3선( 17대 , 18대 , 19대 )",동북아역사왜곡대책특별위원회,413,99,287,27
