name,party,organization_name,organization_address,food,amount,purpose
박대동,새누리당,(주)봉피양,서울 서초구 서초동 1330,중식,101000,국정감사 대비 간담회
심상정,정의당,(주)강남해우리,서울 강남구 역삼동 823-16,한식,64000,식대(의원 외 4인)
박명재,새누리당,(주)롯데리아,경기안양시 만안구 시민대로 180,기타,88200,가계부채관련 보좌직원 회의(4명)
박대동,새누리당,(주)봉피양,서울 서초구 서초동 1330,중식,142000,정무위 현안관련 간담회
김무성,새누리당,(주)블루리본써비스,서울 서초구 서초동 700 예술의전당 비타민스테이션,한식,689185,정책개발을 위한 보좌진과의 의정논의
박대동,새누리당,(주)서여의도 해우리,서울 영등포구 여의도동 16-2 중소기업중앙회본관 1층 15,한식,295800,하도급거래법 관련 간담회
박대동,새누리당,(주)서여의도 해우리,서울 영등포구 여의도동 16-2 중소기업중앙회본관 1층 15,한식,87000,정보유출배상제도 토론회 대비 전문가 간담회
김관영,국민의당,(주)여의도진진바라,영등포구 여의도동 45-3 여의도 스포츠센터,한식,100000,"예산 관련 의원, 실무진 간담회"
김무성,새누리당,(주)여의도진진바라,서울 영등포구 여의도동 45 45-3번지 여의도스포츠센터,한식,370000,정책개발을 위한 국회의원과의 의정논의
김무성,새누리당,(주)여의도진진바라,서울 영등포구 여의도동 45 45-3번지 여의도스포츠센터,한식,675000,정책개발을 위한 국토교통위원들과의 의정논의
김무성,새누리당,(주)여의도진진바라,서울 영등포구 여의도동 45 45-3번지 여의도스포츠센터,한식,350000,정책개발을 위한 국회의원과의 의정논의
김무성,새누리당,(주)여의도진진바라,서울 영등포구 여의도동 45 45-3번지 여의도스포츠센터,한식,275000,정책개발을 위한 국회의원과의 의정논의
김관영,국민의당,(주)이랜드 파크 렉싱턴호텔 여의도,서울특별시 영등포구 여의도동 13-3,호텔,48000,"의원, 기자단 차담회"
김관영,국민의당,(주)이랜드 파크 렉싱턴호텔 여의도,서울특별시 영등포구 여의도동 13-3,호텔,156000,"의원, 중앙지 기자단 조찬간담회"
김관영,국민의당,(주)이랜드 파크 렉싱턴호텔 여의도,서울특별시 영등포구 여의도동 13-3,호텔,78000,"의원, 기자단 조찬간담회"
김관영,국민의당,(주)이랜드 파크 렉싱턴호텔 여의도,서울특별시 영등포구 여의도동 13-3,호텔,117000,의원단 조찬간담회(예산관련)
이철우,새누리당,(주)이랜드 파크 렉싱턴호텔 여의도,서울특별시 영등포구 국회대로76길 16,호텔,616500,경북 의원 예산 및 현안 간담회
이철우,새누리당,(주)이랜드 파크 렉싱턴호텔 여의도,서울특별시 영등포구 국회대로76길 16,호텔,152000,교통기본법 관련 간담회
